# /home/xozidok/work/codes/contra/contra 0 1 1 1 0 9.86 0 0.075 0.013 0 1
# Standard model of Adiabatic Contraction
# Dark matter profile: Navarro, Frenk & White (1997) model, c=9.86
# Baryon distribution: Exponential model, fb=0.075 rb=0.013
# Tracer population: Exponential model with isotropic velocity distribution
# los velocity dispersion integrated out to 3 R_vir
#
# r_i       r_f       m_i       m_f       rho_i     rho_f   gam_i gam_f   v_circ  sigma_los
2.239e-01 1.935e-01 2.988e-01 3.368e-01 2.104e+00 1.931e+00 2.376 2.368 1.356e+00 3.096e-01
2.512e-01 2.218e-01 3.342e-01 3.692e-01 1.596e+00 1.467e+00 2.425 2.407 1.330e+00 2.879e-01
2.818e-01 2.536e-01 3.720e-01 4.040e-01 1.204e+00 1.109e+00 2.471 2.446 1.304e+00 2.674e-01
3.162e-01 2.892e-01 4.122e-01 4.411e-01 9.034e-01 8.352e-01 2.514 2.485 1.278e+00 2.482e-01
3.548e-01 3.293e-01 4.546e-01 4.804e-01 6.747e-01 6.260e-01 2.555 2.523 1.251e+00 2.301e-01
3.981e-01 3.742e-01 4.993e-01 5.220e-01 5.016e-01 4.672e-01 2.594 2.559 1.225e+00 2.131e-01
4.467e-01 4.246e-01 5.462e-01 5.657e-01 3.713e-01 3.473e-01 2.630 2.594 1.198e+00 1.971e-01
5.012e-01 4.812e-01 5.951e-01 6.115e-01 2.738e-01 2.571e-01 2.664 2.629 1.170e+00 1.821e-01
5.623e-01 5.447e-01 6.459e-01 6.593e-01 2.011e-01 1.896e-01 2.692 2.658 1.143e+00 1.680e-01
6.310e-01 6.160e-01 6.985e-01 7.091e-01 1.473e-01 1.394e-01 2.729 2.696 1.115e+00 1.549e-01
7.079e-01 6.960e-01 7.529e-01 7.606e-01 1.074e-01 1.021e-01 2.732 2.700 1.086e+00 1.426e-01
7.943e-01 7.859e-01 8.088e-01 8.138e-01 7.825e-02 7.462e-02 2.816 2.783 1.058e+00 1.311e-01
8.913e-01 8.867e-01 8.662e-01 8.687e-01 5.656e-02 5.411e-02 2.722 2.704 1.029e+00 1.205e-01
1.000e+00 1.000e+00 9.250e-01 9.250e-01 4.198e-02 4.020e-02 2.590 2.580 1.000e+00 1.106e-01
